Thermobifida fusca
Phytoactinopolyspora halotolerans
Mycobacterium chitae
Phytohabitans rumicis
Phytohabitans suffuscus
Streptomyces sp012034175
Lentzea indica
Amycolatopsis sp013364075
Nocardioides lianchengensis
Nocardioides ungokensis
Arachnia sp014164775
Nocardioides soli
Janthinobacterium sp014200675
Mycobacterium sp014202335
Streptosporangium saharense
Actinophytocola algeriensis
Nocardioides luti
Undibacterium amnicola
Streptomyces sp014621695
Kitasatospora griseola
Amycolatopsis deserti
Kitasatospora indigofera
Streptomyces sulfonofaciens
Cyanobium elabens
Nonomuraea cypriaca
Plantactinospora sp015690345
Streptomyces pactum
Nocardioides sp016735675
Streptomyces sp016756395
Pseudorhodobacter sp016765775
Actinoplanes regularis
Actinoplanes tereljensis
Plantactinospora mayteni
Acrocarpospora phusangensis
Amycolatopsis sp016889705
Streptomyces acididurans
Amycolatopsis magusensis
Actinoplanes toevensis
Devosia sp018334155
Kineosporia sp018499875
Amycolatopsis sp018736145
Salipiger sp018860705
Micromonospora eburnea
Nonomuraea jiangxiensis
Streptomyces yanglinensis
Streptomyces rubidus
Microbacterium sp900114345
Pseudonocardia ammonioxydans
Lentzea waywayandensis
Promicromonospora panici
Amycolatopsis sp902497555
Nocardioides sp902506435
Halioglobus japonicus_A
Paenibacillus_M ginsengihumi
Ga0077555 sp001464855
CG2-30-66-27 sp001797445
2-02-FULL-56-15 sp001801825
2-01-FULL-45-10 sp001804065
UBA969 sp002303765
Gallionella sp002414205
Prosthecobacter sp002343505
UBA2475 sp002342065
PHOS-HE28 sp002360495
Methyloceanibacter sp002383105
Nitrospira_D sp002435325
Brevefilum sp002452315
Palsa-1315 sp002737345
HCH-1 sp002753305
UBA12454 sp002839495
Palsa-661 sp003131945
Fen-1077 sp003141235
Bog-756 sp003164275
SZUA-87 sp003231645
Delta-02 sp003506795
Pediococcus parvulus
UBA12294 sp003577395
SURF-27 sp003597995
B9-G15 sp003650185
UBA6249 sp004298075
Palsa-1315 sp005116775
Nitrospira_F sp005116965
SXOD01 sp005776885
F1-120-MAGs170 sp005777315
UBA2093 sp005788205
Palsa-1315 sp005800255
Cellvibrio sp005801205
SYOC01 sp005804965
Palsa-1315 sp005877535
Palsa-1315 sp005887945
SCTL01 sp008933055
Amycolatopsis_C sp009377385
SCTL01 sp009695195
SIBH01 sp009695285
Nocardioides sp009699265
IMCC26256 sp009702955
UBA6055 sp009840575
OLB14 sp009885525
RGVD01 sp010027395
UBA12294 sp011362695
Hydrogenophaga sp011390855
Palsa-1315 sp011391455
Hydrogenophaga sp011391745
JAAXHF01 sp011523315
JAAZAN01 sp012514315
Polaromonas sp012927415
JABDDS01 sp013287465
UBA12294 sp013360875
UBA12294 sp013388685
JACCXF01 sp013697295
WYBW01 sp014860005
OLB14 sp014860745
Planktophila sp015660815
OLB14 sp016191985
OLB14 sp016234495
OLB14 sp016234535
OLB14 sp016234555
Draconibacterium sp016705335
Chakrabartia sp016714795
OLB14 sp016715195
IGN2 sp016716565
UBA12294 sp016789025
OLB14 sp016789225
OLB14 sp016789485
Micromonospora sp016802835
JAFGTF01 sp016934265
Casimicrobium sp017989135
Vogesella sp017998615
JAFLBH01 sp018000995
Limnohabitans sp018883305
Limnohabitans sp018883455
Devosia sp900470445
Rhizobium sp900472625
CAIKBD01 sp903825565
UBA7672 sp903831485
OLB14 sp903914955
LD21 sp903844815
Limnohabitans sp903850735
UBA11358 sp903884535
UBA967 sp903915315
Rhodoglobus sp903920435
Ga0077527 sp903933915
Methylopumilus universalis
UBA5518 sp903938575
Ilumatobacter_A sp905480335
Mycobacterium phlei
Rhizobium sp000282035
Streptomyces sp000482585
Kitasatospora purpeofusca
Knoellia sp001427985
Nocardioides sp001428125
Secundilactobacillus collinoides
Nocardia harenae
Micromonospora sp002140155
Cryobacterium sp002929845
Micromonospora fulviviridis
Mycobacterium moriokaense_A
Streptosporangium subroseum
Flavobacterium sp003634825
Streptomyces hainanensis
Cryobacterium sp004403945
Amycolatopsis pithecellobii
Nocardioides piscis
Microbacterium sp013408285
Kitasatospora sp014596515
Pseudolysinimonas yzui
Saccharomonospora sp016595675
Microbispora siamensis
Planotetraspora mira
Nocardioides sp017310035
Nocardioides sp017872795
Mycobacterium gilvum
Saccharopolyspora flava
Streptomyces paucisporeus
Kibdelosporangium aridum
UBA3015 sp001438005
Hyphomonas sp001464545
Giesbergeria sp001724785
Udaeobacter sp003219415
Spirillospora sp001942465
Polaromonas sp002256925
Pseudoduganella sp002454505
Azonexus sp002840765
Sulfotelmatobacter sp003131635
Janthinobacterium sp003133225
PALSA-1005 sp003153335
PALSA-1004 sp003153455
Palsa-948 sp004297845
Gallionella sp004298605
Gemmata sp005773755
Casp-actino8 sp005801025
SCMT01 sp008015095
UBA12225 sp009693165
Rhodoferax sp009693325
Lacunisphaera sp009695095
Planktophila sp009702835
Aquabacterium_A sp010030205
Polaromonas sp010365105
Hydrogenophaga sp011390835
JAABPW01 sp011391785
DTKD01 sp012522555
F1-20-MAGs119 sp013205145
Limnohabitans sp013205525
NBD-18 sp013205565
JACCTH01 sp013812505
Hydrogenophaga sp013823505
Kinneretia sp015657635
RI-121 sp016124455
UBA9968 sp016193465
Palsa-948 sp016213405
UBA668 sp016213625
OLB11 sp016706595
UBA4416 sp016708845
JAEUTT01 sp016787165
Lacunisphaera sp016795565
JAFLBH01 sp017303905
Variovorax sp017744935
Chersky-683 sp017882905
CTSoil-075 sp017889585
Sporomusa sp017889675
CAISIP01 sp018063505
Propionivibrio sp017990155
Aquabacterium_A sp017999135
JAGXSJ01 sp018333895
UBA5216 sp900299145
UBA1367 sp900314645
Pararhizobium sp900474095
RBC074 sp902825875
Rhodoferax sp903839085
CAINVV01 sp903902325
PALSA-1004 sp903913965
Azonexus sp903922075
Nodosilinea nodulosa
Kocuria rosea
Duganella sp003416895
Paraburkholderia fynbosensis
Massilia aurea_A
Tardiphaga sp008329525
Spirillospora montaniterrae
Pseudoduganella sp009674485
Bradyrhizobium australiense
Nonomuraea sp013283785
Tardiphaga robiniae
Polaromonas sp015752205
Frankia sp016786355
Bradyrhizobium sp018130065
Bradyrhizobium sp018130145
Bradyrhizobium sp018131075
Bradyrhizobium sp018398895
Comamonas sp018413525
Bradyrhizobium canariense_A
Nonomuraea parvosata
Mycobacterium innocens
Pseudonocardia sp001725415
O2-02-FULL-57-9 sp001800015
MED660 sp002691025
Cypionkella sp002256245
Novosphingobium sp002256985
WCHB1-27 sp002328485
Lacibacter sp002336115
Aquimonas sp002352135
Marinicaulis sp002388885
Sideroxydans sp002421915
UBA6174 sp002422945
UBA6107 sp002428455
Sulfurimicrobium denitrificans_A
Erythrobacter sp002706445
Mycobacterium sp002863225
Palsa-881 sp003136615
Udaeobacter sp003219355
AV69 sp003221295
GCA-003244245 sp003244245
UBA11222 sp003454415
UBA11056 sp003543035
Casp-actino8 sp005787035
Aeromicrobium sp005788575
VBAS01 sp005798905
Kordiimonas sp006226495
SLSW01 sp009377645
MAG-120802 sp010032085
Sphingomonas sp013822915
JABZFP01 sp014237395
JACMNW01 sp014378345
JACQGE01 sp016199675
Rhizorhapis sp016650315
JAFLBH01 sp016787445
Azonexus sp016790815
Novosphingobium sp017302775
Paracoccus sp018056045
UBA6544 sp018665505
Acidovorax sp018780365
UBA10183 sp018819285
Erythrobacter sp018830415
Agrobacterium sp900468015
GWC2-37-13 sp902200405
CAIYZJ01 sp903824185
Chakrabartia sp903839675
Novosphingobium sp903848655
Rhodoferax sp903863395
Rhodoferax sp903897005
Phenylobacterium sp903928755
NBD-18 sp903932425
Knoellia sp000152705
Amycolatopsis sp000231075
Streptomyces albidoflavus
Agrobacterium rubi
Kitasatospora azatica
Mycobacterium aurum
Novosphingobium sp001295795
Agrobacterium sp001422245
Allorhizobium vitis
Mycobacterium vaccae
Mycobacterium grossiae
Rhodococcus jostii
Streptomyces sp001984575
Hymenobacter chitinivorans
Agrobacterium rosae
Streptomyces geranii
Streptacidiphilus pinicola
ETT8 sp003443995
Phytoplasma ziziphi
Neobacillus sp004341175
Streptomyces sp004348315
Nocardioides guangzhouensis
Pedococcus bigeumensis
Mycobacterium helveticum
F2B08 sp009184895
Microlunatus_B speluncae
Caballeronia sp009766085
Phytohabitans flavus
Nocardioides sp013155335
Nocardioides sp013155375
Microlunatus_B parietis
Streptacidiphilus sp014084105
Hymenobacter sp014333525
Streptomyces_A tyrosinilyticus
Streptomyces kronopolitis
Microbispora aerata
Hymenobacter sp016427455
Nocardioides cavernae
Planococcus sp014836985
Corynebacterium sp014837045
Streptomyces actuosus_A
Micromonospora sp017599305
Streptomyces alni
Celeribacter neptunius
Sporomusa malonica
GWC2-37-13 sp000990305
UBA10119 sp001787405
UBA1547 sp001873625
CG2-30-66-27 sp001873935
Novosphingobium sp002256775
Brevundimonas sp002483865
Qipengyuania sp002695185
PWVB01 sp003562365
AWTP1-18 sp003963315
SKJO01 sp007121975
Janthinobacterium sp009923995
Flavobacterium sp012837155
JABFXA01 sp013361955
GMQP-bins7 sp013817555
Polaromonas sp014376885
Aquabacterium sp016195855
JAHJSU01 sp016208085
Giesbergeria sp017985015
OLB15 sp016789005
JAFGTC01 sp016934335
Acidovorax sp018828125
Comamonas sp019236485
Pseudonocardia sp019263595
UBA953 sp903879465
Rhodoferax sp903906695
CAJCHO01 sp903970145
Palsa-744 sp903970315
Acidovorax radicis
Pedococcus sp001426245
Caballeronia sordidicola_B
Actinophytocola xinjiangensis
Cohnella sp003001675
Acinetobacter terrestris
Kribbella sp004342025
Jiangella asiatica
Saccharopolyspora_C sp016526145
Caballeronia sp018449515
Caballeronia sp018449635
Acrocarpospora sp018476525
Duganella sp019219065
Pseudomonas panipatensis
Pandoraea pneumonica
Rubrivivax sp001295905
UBA5189 sp001795245
40CM-68-15 sp001917585
UBA2266 sp002347125
UBA6107 sp002347485
UBA5189 sp002413045
Fen-1118 sp003136095
PALSA-1176 sp003151975
Fen-1137 sp003158735
AR31 sp003220535
Thermopolyspora sp003242605
QNBT01 sp003644205
WHSY01 sp009379815
JAABTD01 sp011390065
JAABQG01 sp011391155
VFKB01 sp013287215
UBA2475 sp013298715
JACCTI01 sp013695905
JACCRK01 sp013813565
JAENIX01 sp016844415
Ramlibacter sp016191525
JACQED01 sp016200785
Methylomirabilis sp016200385
JACROS01 sp016208765
JACQUQ01 sp016210175
UBA7227 sp016234485
JAEUPI01 sp016790175
Aquabacterium_A sp016790515
JAFGLK01 sp016928125
Sphingopyxis sp017745175
JADGOW01 sp017882765
Aquabacterium_A sp017992055
PSRJ01 sp019242155
OMJI01 sp900299315
Rubrivivax sp903828235
Actinosynnema syringae
Arthrobacter_I sp001512305
Kitasatospora sp002813165
Flavobacterium psychrotolerans
Pedococcus cremeus
Thermopolyspora flexuosa
Actinoplanes derwentensis
Burkholderia sp017104645
Actinoplanes atraurantiacus
Gallionella acididurans
SCGC-AG-212-J23 sp001772055
UBA11358 sp003139955
UBA7542 sp003161635
UBA12294 sp003484265
Paucibacter_A sp005503085
VBDL01 sp005884255
SLTB01 sp007694905
Gaiella sp013694685
JACZKQ01 sp014859965
JACQBZ01 sp016194285
JADJCH01 sp016703325
Rubrivivax sp016709385
0-14-0-80-60-11 sp016874915
GCA-2687515 sp018674495
UBA10092 sp018826255
JAHIPE01 sp018894655
Palsa-465 sp019247075
UBA11358 sp903850425
CAIXPS01 sp903873965
UBA11358 sp903922735
Polaromonas glacialis
Aquincola tertiaricarbonis
Nitrosomonas communis
Rhizobacter sp001425785
Variovorax sp001541225
Variovorax sp001984055
KK5 sp001984095
Ramlibacter sp003797765
Clostridium_AD tagluense
Sphingobium algorifonticola
Paucibacter toxinivorans
Nonomuraea sp008017515
Clostridium_AD estertheticum_A
Rhizobacter sp012275445
Actinoplanes sp012933445
Saccharopolyspora hordei
Nonomuraea soli
Variovorax sp014170375
Thiorhodovibrio winogradskyi
Rhizobacter sp016735515
Caballeronia concitans
BRH-c25 sp001515955
2-02-FULL-51-18 sp001804125
Sphingobium xenophagum
Stenotrophomonas maltophilia_AG
4787 sp002402995
Sphingopyxis sp002454115
Palsa-1188 sp003160265
SZUA-309 sp003247835
Massilia sp003520365
Limnocylindrus sp003670475
Rugosimonospora sp005885555
DRKI01 sp011051875
Mycobacterium sp011334635
BD2-11 sp012267435
Hydrogenophaga sp013823485
JAFGIO01 sp016929555
Zoogloea sp017309145
PCRC01 sp017848435
Sporomusa sp017889705
Actinoplanes ferrugineus_A
Hydrogenophaga sp018335615
GJ-E10 sp900290335
UBA7398 sp903878415
PFJX01 sp903918705
Polaromonas sp000282655
Nocardioides halotolerans
Corynebacterium marinum
Caballeronia mineralivorans
Actinosynnema sp001280085
Nonomuraea pusilla
Caballeronia udeis
Caballeronia cordobensis
Caballeronia hypogeia
Spirillospora macra
Microtetraspora fusca
Actinophytocola xanthii
Flavobacterium psychrolimnae
Phyllobacterium bourgognense
Nocardioides_B iriomotensis
Nonomuraea sp008065375
Duganella sp009380215
Duganella alba
Corynebacterium sp009734425
Actinosynnema deserti
Mycobacterium gallinarum
Nocardioides anomalus
Mycobacterium hippocampi_A
Pigmentiphaga litoralis_A
Nonomuraea cavernae
Nonomuraea glycinis
Actinoplanes sp016834655
Actinoplanes philippinensis
Sphaerisporangium sp018531465
Pseudonocardia sp018531475
Nonomuraea wenchangensis
Pseudonocardia thermophila
Achromobacter agilis
Dolichospermum sp000312705
RBG-13-61-14 sp001797815
Lutibacter sp001800975
CG2-30-58-95 sp001872165
Diaphorobacter_A sp002331385
UBA7937 sp002366595
Stenotrophomonas maltophilia_AC
Palsa-851 sp003135895
UBA10449 sp003446775
UBA7937 sp003453555
QYQD01 sp007280345
QYQD01 sp011046395
JAAZNO01 sp012798275
SKWV01 sp013697735
JACQGQ01 sp016199495
R-H-3 sp016213575
Tahibacter sp016790075
Hydrogenophaga sp018903185
Palsa-504 sp019246795
Paenisporosarcina sp000411295
SYIM01 sp903866395
Actinoplanes friuliensis
Agromyces sp001428255
Agrobacterium bohemicum
Paenibacillus_C sp003217535
Saccharopolyspora hirsuta
Actinoplanes sp016464385
Actinoplanes bogorensis
Blastococcus sp900112815
Lutibacter sp003516285
GWA2-32-17 sp001769035
UBA4082 sp002383355
Flavobacterium sp002786385
NAK19 sp003130835
WVXT01 sp011773355
JACCYU01 sp013695765
Lutibacter sp014859175
JAENIX01 sp016219515
Sphingobium cupriresistens
JAFGNJ01 sp016927065
Hydrogenophaga sp018333605
UBA9312 sp018895675
Aquabacterium sp903894125
UBA2250 sp903950295
Acidovorax facilis
Duganella radicis
DG-74-1 sp001303125
GWF2-38-335 sp001769535
RBG-16-51-16 sp001796785
2-01-FULL-41-12 sp001805765
CG1-02-37-114 sp001871125
Rhodoferax sp002786915
UBA2270 sp002327225
UBA2270 sp002347085
UBA3254 sp002362735
Terrimonas sp002399735
Thiocapsa sp002423035
Xenobium occultum
UBA2270 sp002424635
UBA6262 sp002441095
PEYC01 sp002774555
PETJ01 sp002781125
Azonexus sp002842345
MarineAlpha4-Bin1 sp002937525
Thioploca sp012032555
JAAYZY01 sp012514615
B1 sp014376805
WMHbin7 sp015232335
Calidiofonticultor daggyaiensis
JACRHO01 sp016212045
VGKK01 sp016867095
JAFGJU01 sp016928935
JAFGDF01 sp016932235
Azonexus sp017983755
Zoogloea sp018241685
UBA2270 sp018821985
JAHKBC01 sp018825725
JAHIOW01 sp018895075
SCSIO-52909 sp902806085
CAIRWO01 sp903882345
Achromobacter mucicolens
Caballeronia arvi
Flavobacterium sp003688345
Methylobacter_A oryzae
Dolichospermum sp009711935
Flavobacterium sp012911605
Duganella sp013376005
Flavobacterium urocaniciphilum
Paraburkholderia ultramafica
AV2 sp003219675
F1-80-MAGS106 sp005805305
DSRY01 sp011331385
GWA2-66-18 sp016194625
JACQNT01 sp016202915
JACQWC01 sp016209635
JAENIX01 sp016218975
Azonexus sp016705475
JAFGIS01 sp016929495
UBA877 sp017882125
Opitutus sp018239845
Azonexus aromaticus_A
Pseudomonas_E veronii
CAIQPS01 sp903873715
Hyphomonas neptunium
Sulfuricella sp000971475
Cupriavidus numazuensis
UBA12091 sp001799485
Halioglobus sp002699145
UBA5852 sp002432195
BOG-224 sp003139735
Terracidiphilus sp003140785
Bog-257 sp003165795
AG12 sp003222235
PNKE01 sp003487005
RDXZ01 sp004293265
SCUS01 sp004297725
C-114 sp005881055
SKPT01 sp007119405
WHTT01 sp009377495
JAAYEA01 sp012689325
PALSA-968 sp013287545
CF-46 sp013698095
JABFXX01 sp013813765
SXON01 sp014191855
JJ008 sp014879565
Gallionella sp016177795
Reyranella sp016185145
JACQTO01 sp016189945
2-02-FULL-66-22 sp016208645
CADEFT01 sp016213775
PALSA-1316 sp016215155
Sulfuritalea sp016215645
RBG-13-43-22 sp016219225
Sulfuritalea sp016708585
Caulobacter sp017744445
Novosphingobium sp018241045
34-128 sp018903015
Flavobacterium frigidimaris
Neorhizobium soli
Reyranella sp902825855
Flavobacterium sp903879645
CAIYYX01 sp903904605
UBA693 sp903913865
Pirellula_B sp903930765
Rhizobium mongolense
Pararhizobium polonicum
Flavobacterium sp009707955
Flavobacterium xanthum
RBG-1 sp000447245
GWF2-33-38 sp001769505
3-1-20CM-4-69-9 sp001920085
UBA964 sp002292945
GCA-2729515 sp002729515
Fen-1038 sp003141915
PALSA-1355 sp003153375
AV2 sp003219345
AR19 sp003220595
AR12 sp003220335
AG41 sp003220905
20CM-2-55-15 sp003222815
Acidoferrum sp003224105
Sulfotelmatobacter sp003225005
34-128 sp003451675
UBA11358 sp003455565
Curvibacter sp003987795
2-12-FULL-64-23 sp004298385
Palsa-1315 sp005116885
SG8-4 sp005223045
3-1-20CM-2-70-9 sp005880575
3-1-20CM-2-70-9 sp005881085
VBDM01 sp005881575
CF-39 sp005882255
CF-39 sp005889405
AP-15 sp005888425
UBA2212 sp009773735
WSYB01 sp009773645
VFJQ01 sp009885995
F1-20-MAGs016 sp009924545
DSRV01 sp011331415
JACDBZ01 sp013694795
JACCXJ01 sp013697045
JACDGH01 sp013815395
Gemmata sp013822345
SYSU-D60009 sp013822765
PNNN01 sp013824245
JACMLX01 sp014379355
Janthinobacterium sp014379395
Thiobacillus sp016124745
Didemnitutus sp016187925
UBA1546 sp016195565
PALSA-1396 sp016200005
Sulfuricaulis sp016200465
JACQEN01 sp016200585
UBA9639 sp016212885
JACRBM01 sp016219275
JADJNY01 sp016220035
ER46 sp016222805
JACRJY01 sp016235585
